,mean_active_users
2025-04-01 00:00:00,20356.292189878193
2025-04-01 01:00:00,48437.606626440655
2025-04-01 02:00:00,73211.24801739029
2025-04-01 03:00:00,115926.99655341185
2025-04-01 04:00:00,162237.3096884827
2025-04-01 05:00:00,202439.24214762612
2025-04-01 06:00:00,250862.25804963824
2025-04-01 07:00:00,291193.18931142736
2025-04-01 08:00:00,311405.686088411
2025-04-01 09:00:00,336030.7749334355
2025-04-01 10:00:00,334237.484288435
2025-04-01 11:00:00,336075.24728096055
2025-04-01 12:00:00,306715.26982958906
2025-04-01 13:00:00,280210.60572973127
2025-04-01 14:00:00,265271.315460586
2025-04-01 15:00:00,204457.44415395978
2025-04-01 16:00:00,164868.07509530077
2025-04-01 17:00:00,109398.6996132495
2025-04-01 18:00:00,72912.86049161563
2025-04-01 19:00:00,31503.569816696807
2025-04-01 20:00:00,8771.7697416848
2025-04-01 21:00:00,545.0271931569639
2025-04-01 22:00:00,-2535.444920801656
2025-04-01 23:00:00,1124.0776980426172
2025-04-02 00:00:00,9360.434168918611
2025-04-02 01:00:00,38642.28901182081
2025-04-02 02:00:00,62726.221976865454
2025-04-02 03:00:00,106238.66592618029
2025-04-02 04:00:00,153321.9462700677
2025-04-02 05:00:00,191829.28785726576
2025-04-02 06:00:00,242118.56333806622
2025-04-02 07:00:00,280485.0293243687
2025-04-02 08:00:00,300014.7510476472
2025-04-02 09:00:00,326686.39547880023
2025-04-02 10:00:00,324153.02612946596
2025-04-02 11:00:00,324842.73232155474
2025-04-02 12:00:00,297920.35352248576
2025-04-02 13:00:00,270372.89678503486
2025-04-02 14:00:00,254118.2935064488
2025-04-02 15:00:00,194315.57496168345
2025-04-02 16:00:00,155131.6364941993
2025-04-02 17:00:00,100185.38220616373
2025-04-02 18:00:00,62695.7080504319
2025-04-02 19:00:00,21423.952862341008
2025-04-02 20:00:00,-498.0027560751263
2025-04-02 21:00:00,-8798.277761263296
2025-04-02 22:00:00,-12703.967478139484
2025-04-02 23:00:00,-8625.64534145143
2025-04-03 00:00:00,-382.5512223288981
2025-04-03 01:00:00,28975.980085164283
2025-04-03 02:00:00,53015.86255143543
2025-04-03 03:00:00,96579.19007561753
2025-04-03 04:00:00,143711.83851449273
2025-04-03 05:00:00,182110.94947796268
2025-04-03 06:00:00,232519.41976949578
2025-04-03 07:00:00,270760.4187150051
2025-04-03 08:00:00,290246.5327621466
2025-04-03 09:00:00,317048.88720197964
2025-04-03 10:00:00,314468.25029024784
2025-04-03 11:00:00,315084.63205598487
2025-04-03 12:00:00,288317.93851812254
2025-04-03 13:00:00,260703.88039655332
2025-04-03 14:00:00,244365.27032330894
2025-04-03 15:00:00,184627.13237785661
2025-04-03 16:00:00,145469.0880695396
2025-04-03 17:00:00,90556.24463839643
2025-04-03 18:00:00,53002.45725412122
2025-04-03 19:00:00,11739.486222590216
2025-04-03 20:00:00,-10130.746014028466
2025-04-03 21:00:00,-18435.717411590962
2025-04-03 22:00:00,-22394.112366854653
2025-04-03 23:00:00,-18289.04222049438
